,City MPG,Class,Combination MPG,Cylinders,Displacement,Drive,Fuel Type,Highway MPG,Make,Model,Transmission,Year
139,28,midsize car,30,6.0,3.5,AWD,gas,31,acura,rlx hybrid,a,2016
140,16,subcompact car,19,6.0,3.8,AWD,gas,22,nissan,gt-r,a,2016
141,26,compact car,29,4.0,1.6,FWD,gas,32,hyundai,veloster,a,2016
142,25,compact car,28,4.0,1.6,FWD,gas,33,hyundai,veloster,m,2016
143,25,midsize car,30,6.0,3.0,AWD,diesel,38,audi,a6 quattro,a,2016
144,15,large car,18,8.0,5.0,RWD,gas,23,hyundai,equus,a,2016
145,18,minivan,20,6.0,3.3,FWD,gas,24,kia,sedona,a,2016
146,18,minivan,21,6.0,3.3,FWD,gas,25,kia,sedona sx,a,2016
147,17,minivan,19,6.0,3.3,FWD,gas,22,kia,sedona sxl,a,2016
148,17,standard sport utility vehicle,20,6.0,3.6,AWD,gas,24,porsche,cayenne,a,2016
149,22,two seater,26,4.0,2.0,RWD,gas,32,bmw,z4 sdrive28i,a,2016
150,20,small sport utility vehicle,23,4.0,2.0,FWD,gas,28,hyundai,santa fe sport fwd,a,2017
151,20,small sport utility vehicle,23,4.0,2.0,FWD,gas,27,hyundai,santa fe sport ultimate fwd,a,2017
152,19,small sport utility vehicle,22,4.0,2.0,AWD,gas,26,hyundai,santa fe sport awd,a,2017
153,19,small sport utility vehicle,21,4.0,2.0,AWD,gas,24,hyundai,santa fe sport ultimate awd,a,2017
154,19,standard sport utility vehicle,21,6.0,3.0,AWD,gas,25,audi,q7,a,2017
155,29,midsize car,33,4.0,2.0,FWD,gas,38,hyundai,elantra se,a,2017
156,28,midsize car,32,4.0,2.0,FWD,gas,37,hyundai,elantra,a,2017
157,26,midsize car,29,4.0,2.0,FWD,gas,36,hyundai,elantra,m,2017
158,18,small sport utility vehicle,21,6.0,3.3,FWD,gas,25,hyundai,santa fe fwd,a,2017
159,17,small sport utility vehicle,20,6.0,3.3,FWD,gas,23,hyundai,santa fe ultimate fwd,a,2017
160,18,small sport utility vehicle,20,6.0,3.3,AWD,gas,24,hyundai,santa fe awd,a,2017
161,17,small sport utility vehicle,19,6.0,3.3,AWD,gas,22,hyundai,santa fe ultimate awd,a,2017
162,21,small sport utility vehicle,24,4.0,2.4,FWD,gas,27,hyundai,santa fe sport fwd,a,2017
163,20,small sport utility vehicle,22,4.0,2.4,AWD,gas,26,hyundai,santa fe sport awd,a,2017
164,22,small sport utility vehicle,25,4.0,2.4,FWD,gas,29,kia,sportage fwd,a,2017
165,23,small sport utility vehicle,26,4.0,2.4,FWD,gas,30,kia,sportage fe fwd,a,2017
166,21,small sport utility vehicle,23,4.0,2.0,FWD,gas,26,kia,sportage fwd,a,2017
167,21,small sport utility vehicle,23,4.0,2.4,AWD,gas,25,kia,sportage awd,a,2017
168,21,small sport utility vehicle,22,4.0,2.4,AWD,gas,25,kia,sportage fe awd,a,2017
169,20,small sport utility vehicle,21,4.0,2.0,AWD,gas,23,kia,sportage awd,a,2017
170,19,small sport utility vehicle,22,6.0,3.6,FWD,gas,27,cadillac,xt5,a,2017
171,18,small sport utility vehicle,21,6.0,3.6,AWD,gas,26,cadillac,xt5 awd,a,2017
172,33,compact car,36,3.0,1.2,FWD,gas,41,mitsubishi,mirage,m,2017
173,37,compact car,39,3.0,1.2,FWD,gas,43,mitsubishi,mirage,a,2017
174,18,minivan,22,6.0,3.6,FWD,gas,28,chrysler,pacifica,a,2017
176,14,two seater,17,10.0,5.2,AWD,gas,22,audi,r8,a,2017
177,14,two seater,17,10.0,5.2,AWD,gas,22,audi,r8 spyder,a,2017
178,24,compact car,27,4.0,2.0,AWD,gas,31,audi,a4 quattro,a,2017
179,25,compact car,28,4.0,2.0,FWD,gas,33,audi,a4,a,2017
180,20,compact car,23,4.0,2.0,AWD,gas,27,subaru,wrx,m,2017
181,18,compact car,21,4.0,2.0,AWD,gas,24,subaru,wrx,a,2017
182,17,compact car,19,4.0,2.5,AWD,gas,23,subaru,wrx,m,2017
183,19,large car,22,6.0,3.0,AWD,gas,28,bmw,740i xdrive,a,2017
184,20,small sport utility vehicle,23,6.0,3.5,FWD,gas,28,acura,rdx fwd,a,2017
185,19,small sport utility vehicle,22,6.0,3.5,AWD,gas,27,acura,rdx awd,a,2017
186,43,compact car,42,4.0,1.5,FWD,gas,42,chevrolet,volt,a,2017
187,15,two seater,18,8.0,5.0,AWD,gas,23,jaguar,f-type r awd coupe,a,2017
188,15,two seater,18,8.0,5.0,AWD,gas,23,jaguar,f-type r awd convertible,a,2017
189,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type coupe,a,2017
190,20,two seater,23,6.0,3.0,RWD,gas,28,jaguar,f-type convertible,a,2017
191,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s coupe,a,2017
192,19,two seater,22,6.0,3.0,RWD,gas,27,jaguar,f-type s convertible,a,2017
193,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd coupe,a,2017
194,18,two seater,21,6.0,3.0,AWD,gas,26,jaguar,f-type s awd convertible,a,2017
195,16,two seater,19,6.0,3.0,RWD,gas,24,jaguar,f-type coupe,m,2017
196,16,two seater,19,6.0,3.0,RWD,gas,24,jaguar,f-type convertible,m,2017
197,15,two seater,18,6.0,3.0,RWD,gas,24,jaguar,f-type s coupe,m,2017
198,15,two seater,18,6.0,3.0,RWD,gas,24,jaguar,f-type s convertible,m,2017
199,22,minicompact car,25,4.0,2.0,FWD,gas,31,mini,john cooper works convertible,m,2017
200,26,small sport utility vehicle,28,4.0,1.5,FWD,gas,32,chevrolet,equinox fwd,a,2018
201,24,small sport utility vehicle,26,4.0,1.5,AWD,gas,30,chevrolet,equinox awd,a,2018
202,24,subcompact car,27,4.0,2.0,AWD,gas,34,audi,a5 cabriolet quattro,a,2018
203,24,subcompact car,27,4.0,2.0,AWD,gas,33,audi,a5 quattro,m,2018
204,24,compact car,27,4.0,2.0,AWD,gas,34,audi,a4 quattro,a,2018
205,24,compact car,27,4.0,2.0,AWD,gas,33,audi,a4 quattro,m,2018
206,21,compact car,23,4.0,2.0,AWD,gas,27,subaru,wrx,m,2018
207,18,compact car,21,4.0,2.0,AWD,gas,24,subaru,wrx,a,2018
208,24,midsize car,27,4.0,2.0,AWD,gas,34,audi,a5 sportback quattro,a,2018
209,18,large car,20,6.0,3.8,AWD,gas,25,genesis,g80 awd,a,2018
210,19,large car,22,6.0,3.8,RWD,gas,27,genesis,g80 rwd,a,2018
211,23,small sport utility vehicle,25,4.0,2.0,AWD,gas,27,audi,q5,a,2018
212,24,subcompact car,27,4.0,2.0,AWD,gas,34,audi,a5 quattro,a,2018
213,21,subcompact car,24,6.0,3.0,AWD,gas,30,audi,s5,a,2018
214,20,subcompact car,23,6.0,3.0,AWD,gas,29,audi,s5 cabriolet,a,2018
215,21,compact car,24,6.0,3.0,AWD,gas,30,audi,s4,a,2018
216,21,midsize car,24,6.0,3.0,AWD,gas,30,audi,s5 sportback,a,2018
217,17,large car,20,6.0,3.3,AWD,gas,24,genesis,g80 awd,a,2018
218,17,large car,20,6.0,3.3,RWD,gas,25,genesis,g80 rwd,a,2018
219,19,small sport utility vehicle,21,6.0,3.0,AWD,gas,24,audi,sq5,a,2018
220,12,standard sport utility vehicle,15,12.0,6.0,AWD,gas,19,bentley,bentayga,a,2018
221,24,subcompact car,27,4.0,2.0,RWD,gas,34,bmw,430i convertible,a,2018
222,22,subcompact car,26,4.0,2.0,AWD,gas,32,bmw,430i xdrive convertible,a,2018
223,21,subcompact car,24,6.0,3.0,RWD,gas,29,bmw,440i convertible,a,2018
224,20,subcompact car,23,6.0,3.0,AWD,gas,29,bmw,440i xdrive convertible,a,2018
225,17,subcompact car,20,6.0,3.0,RWD,gas,25,bmw,m4 convertible,m,2018
226,16,subcompact car,19,6.0,3.0,RWD,gas,22,bmw,m4 convertible,a,2018
227,20,subcompact car,23,6.0,3.0,RWD,gas,29,bmw,640i convertible,a,2018
228,19,subcompact car,22,6.0,3.0,AWD,gas,28,bmw,640i xdrive convertible,a,2018
229,17,subcompact car,20,8.0,4.4,RWD,gas,25,bmw,650i convertible,a,2018
230,16,subcompact car,19,8.0,4.4,AWD,gas,25,bmw,650i xdrive convertible,a,2018
231,15,subcompact car,17,8.0,4.4,RWD,gas,22,bmw,m6 convertible,m,2018
232,14,subcompact car,16,8.0,4.4,RWD,gas,20,bmw,m6 convertible,a,2018
233,24,compact car,27,4.0,2.0,RWD,gas,34,bmw,430i coupe,a,2018
234,21,compact car,25,4.0,2.0,RWD,gas,33,bmw,430i coupe,m,2018
235,23,compact car,27,4.0,2.0,AWD,gas,33,bmw,430i xdrive coupe,a,2018
236,24,compact car,27,4.0,2.0,RWD,gas,34,bmw,430i gran coupe,a,2018
237,23,compact car,27,4.0,2.0,AWD,gas,33,bmw,430i xdrive gran coupe,a,2018
238,21,compact car,25,6.0,3.0,RWD,gas,32,bmw,440i coupe,a,2018
239,21,compact car,25,6.0,3.0,AWD,gas,31,bmw,440i xdrive coupe,a,2018
240,19,compact car,23,6.0,3.0,AWD,gas,29,bmw,440i xdrive coupe,m,2018
241,21,compact car,25,6.0,3.0,RWD,gas,32,bmw,440i gran coupe,a,2018
242,21,compact car,25,6.0,3.0,AWD,gas,31,bmw,440i xdrive gran coupe,a,2018
243,17,compact car,20,6.0,3.0,RWD,gas,25,bmw,m4 coupe,m,2018
244,17,compact car,20,6.0,3.0,RWD,gas,24,bmw,m4 coupe,a,2018
245,20,compact car,23,6.0,3.0,RWD,gas,29,bmw,640i gran coupe,a,2018
246,19,compact car,22,6.0,3.0,AWD,gas,28,bmw,640i xdrive gran coupe,a,2018
247,17,compact car,20,8.0,4.4,RWD,gas,25,bmw,650i gran coupe,a,2018
248,16,compact car,19,8.0,4.4,AWD,gas,25,bmw,650i xdrive gran coupe,a,2018
249,16,compact car,19,8.0,4.4,AWD,gas,25,bmw,alpina b6 xdrive gran coupe,a,2018
250,20,small sport utility vehicle,23,6.0,3.2,FWD,gas,29,jeep,cherokee fwd,a,2019
251,19,small sport utility vehicle,22,6.0,3.2,AWD,gas,27,jeep,cherokee 4wd,a,2019
252,18,small sport utility vehicle,21,6.0,3.2,4WD,gas,26,jeep,cherokee 4wd active drive ii,a,2019
253,18,small sport utility vehicle,21,6.0,3.2,4WD,gas,24,jeep,cherokee trailhawk 4wd,a,2019
254,16,two seater,19,8.0,6.2,RWD,gas,25,chevrolet,corvette,m,2019
255,15,two seater,18,8.0,6.2,RWD,gas,25,chevrolet,corvette,a,2019
256,14,two seater,17,8.0,6.2,RWD,gas,23,chevrolet,corvette z06,a,2019
257,30,compact car,34,4.0,1.4,FWD,gas,40,volkswagen,jetta,a,2019
258,30,compact car,34,4.0,1.4,FWD,gas,40,volkswagen,jetta,m,2019
259,22,small sport utility vehicle,25,4.0,2.4,FWD,gas,29,kia,sorento fwd,a,2019
